Pos,Age,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasOff,PasOut,ScaDrib,ScaFld,ScaDef,GcaDrib,GcaDef,Tkl,TouAttPen,DriSucc%,PKwon,PKcon,OG
DF,34,8,694,0,0.65,0.52,80,0,0,13.4,0,0,0,32.2,40.6,561.3,246.4,15.6,17.3,12.7,16,3.25,6.1,0,0.52,2.34,0.65,0.39,2.73,40.6,0.13,0.78,0,0,0,0,0,1.82,0.91,72.7,0,0,0
DF,21,1,45,0,0,0,0,0,0,0,0,0,0,38,40,944,306,8,8,18,18,10,12,0,0,2,0,0,4,40,0,0,0,0,0,0,0,2,0,0,0,0,0
FWMF,31,9,613,0.29,1.32,0.74,55.6,0.22,0.4,14.8,0,0,0,10.6,15.6,171.6,39.6,7.21,9.41,2.06,3.24,1.18,1.91,0,1.32,1.18,0.44,0.15,1.18,15.6,0,0.29,0.59,0.15,0.15,0.15,0,1.18,2.94,67.9,0,0,0
MF,21,9,670,0,0.68,0.27,40,0,0,27,0.14,0,0,35.8,43.9,773.8,185.3,12.6,14.5,15.1,16.5,7.84,10.9,0,0.81,2.97,0.14,0.14,2.3,43.9,0.27,0.95,0,0,0.14,0,0,2.97,0.95,33.3,0,0,0
GK,35,12,1080,0,0,0,0,0,0,0,0,0,0,20.9,29.9,698.3,429.4,2.33,2.33,9.58,9.83,9,17.8,0,0,0.42,0,0,0,29.9,0.08,0.58,0,0,0,0,0,0,0,100,0,0,0
DF,30,8,682,0,0.26,0,0,0,0,24.7,0,0,0,31.8,50.1,615.7,328,12.4,14.1,13.9,20.7,4.74,11.6,0,1.18,2.11,0.79,0.53,3.29,50.1,0.39,0.66,0,0.13,0,0,0,1.58,0.66,25,0,0,0
MF,26,10,837,0,0.32,0.11,33.3,0,0,17.8,0,0,0,32.8,38.5,564,148.4,15.1,16.2,12.7,14.7,3.87,5.59,0.11,0.86,3.44,0.43,0,3.66,38.5,0,0.43,0.11,0.32,0,0,0,3.66,1.08,72.7,0,0,0
GK,30,7,630,0,0,0,0,0,0,0,0,0,0,28.9,34.7,780.4,430.9,6.43,6.57,12.7,13.1,9.57,14.9,0,0.29,0.14,0,0,0,34.7,0,0.86,0,0,0,0,0,0,0,0,0,0,0
MF,36,9,556,0,0.32,0,0,0,0,27.5,0,0,0,53.7,63.7,996.3,273.1,25,27.6,19.2,22.3,8.39,12.1,0,0.97,5.81,0.81,0.16,4.84,63.7,0.16,1.45,0.16,0,0,0,0,2.26,0.48,66.7,0,0,0
MFFW,30,11,541,0,2.5,0.83,33.3,0,0,20,0.33,0,0,35.3,45.7,561,115.2,18.8,22.2,13.7,16,2.67,6,0,1,3.17,1,0.33,3.83,45.7,0.17,0.67,0.33,0,0,0,0,1.33,2.33,55.6,0,0,0
DF,20,9,449,0,0.2,0,0,0,0,32.2,0,0,0,45.2,59.4,842.4,276,19.6,23.2,18.4,22.4,6.4,11.4,0,0.8,3.2,2,0.4,3.6,59.4,0.2,1,0.6,0.2,0,0,0,3,1,63.6,0,0,0
MF,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,23,12,966,0.19,0.56,0.28,50,0.33,0.67,8.8,0,0,0,31.6,42.3,590.5,246.6,13.1,15.5,13.7,17.1,4.39,7.76,0.09,0.47,2.24,0.47,0.19,2.71,42.3,0.09,0.84,0,0.09,0,0,0,3.36,1.68,22.2,0,0,0
DF,32,10,880,0,0.41,0,0,0,0,20.8,0.2,0,0,46.8,59.4,824.1,398.5,23.2,25.3,18.7,22.2,4.8,10,0,2.14,3.78,0.82,0.51,4.8,59.4,0,0.61,0,0,0,0,0,0.92,0.71,50,0,0,0
MF,27,11,945,0.1,0.95,0.1,10,0.1,1,17.4,0,0,0,44.3,54,910.7,268.2,17.7,19.8,18.8,21,7.33,11.9,0,0.67,6.48,0.67,0.1,5.05,54,0.1,0.67,0,0,0,0,0,4.19,1.05,60,0,0,0
DF,30,11,912,0,0.1,0,0,0,0,9,0,0,0,31.6,40.7,604.2,235,11.7,13.6,15,17.7,4.26,8.22,0,0.5,2.57,0.59,0.3,2.18,40.7,0,0.79,0,0,0.1,0,0,1.88,0.3,62.5,0,0,0
FWMF,22,3,77,0,2.22,0,0,0,0,17.1,0,0,0,10,16.7,114.4,35.6,7.78,8.89,2.22,5.56,0,1.11,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,6.67,66.7,0,0,0
DFFW,34,10,672,0,1.47,0.53,36.4,0,0,18.9,0.13,0,0,44.1,52.7,936,280.4,16.1,17.6,18.3,21.1,9.33,12.5,0.4,2.67,1.87,1.6,0.8,4.67,52.7,0.13,0.67,0,0.4,0.13,0,0,3.07,2.93,33.3,0,0,0
DF,24,10,676,0,0.53,0,0,0,0,17.6,0,0,0,60.9,72,1108.9,326.1,24.3,26.1,29.3,33.1,5.87,9.6,0.27,0.93,4.8,1.07,0.67,3.47,72,0.67,0.53,0.13,0,0,0,0,1.6,1.47,62.5,0,0,0
DF,25,3,194,0,1.36,0,0,0,0,20.5,0,0,0,30.9,35.9,550.9,218.2,15,16.4,11.8,12.3,3.64,6.36,0,0.45,1.36,0.45,0,4.55,35.9,0.45,0.45,0.45,0.45,0,0,0,1.36,0.91,100,0,0,0
FWMF,23,9,278,0,2.9,2.26,77.8,0,0,13.5,0,0,0,11.6,16.5,166.1,57.7,7.74,11,2.26,2.9,0.97,0.97,0.65,1.61,0.32,0.65,0,2.26,16.5,0.65,0.32,0,0,0,0,0,1.61,5.81,62.5,0,0,0
MFFW,26,2,43,0,2,2,100,0,0,14,0,0,0,46,58,802,352,26,26,8,18,10,10,0,4,4,2,0,2,58,2,0,0,0,0,0,0,2,2,0,0,0,0
DFFW,31,5,192,0,1.43,0.48,33.3,0,0,13.9,0,0,0,21.9,30.5,358.6,107.6,12.4,14.3,7.14,10,1.9,3.81,0,0.95,1.43,0.48,0.48,1.43,30.5,0,1.43,0,0,0,0,0,0.48,5.71,50,0,0,0
DF,34,4,107,0,0,0,0,0,0,0,0,0,0,43.3,49.2,861.7,249.2,12.5,13.3,25,26.7,5.83,9.17,0,0,4.17,1.67,0.83,4.17,49.2,0,0,0,0,0,0,0,2.5,0,0,0,0,0
FW,18,2,120,0,3.08,1.54,50,0,0,16.6,0,0,0,19.2,30,313.8,92.3,10,13.1,6.15,10,2.31,4.62,0.77,3.08,1.54,1.54,1.54,2.31,30,0,3.08,0,0,0,0,0,0.77,6.15,0,0,0,0
DF,34,4,113,0,0.77,0,0,0,0,16,0,0,0,65.4,76.2,1375.4,392.3,20,20.8,37.7,41.5,7.69,13.1,0,0,5.38,0.77,0,3.08,76.2,0,1.54,0,0,0,0,0,3.08,2.31,100,0,0,0
FW,30,10,422,0.85,2.34,1.91,81.8,0.36,0.44,15.4,0,0,0,22.8,30,322.6,101.5,14.5,18.1,5.11,5.96,1.91,3.4,0,1.91,1.28,1.49,0,3.83,30,0.21,1.06,0.21,0.21,0.21,0,0,0.64,5.11,50,0,0,0
DF,24,7,412,0,0.43,0,0,0,0,16.6,0,0,0,43,51.7,633.5,295,24.8,28,15.7,17.8,1.74,3.7,0,1.52,1.96,2.39,0.87,3.91,51.7,0.22,0.22,0,0,0,0,0,3.26,1.52,46.7,0,0,0
MF,26,3,182,0,1.5,0,0,0,0,27.2,0,0,0,44,58,877.5,221.5,16,20.5,18,21,8.5,13.5,0,0.5,3.5,1,0,4.5,58,0.5,2,0,0,0,0,0,4,0,60,0,0,0
FW,24,11,485,0.56,2.04,1.48,72.7,0.27,0.38,14.1,0,0,0,13.3,20.6,183.5,32.6,7.96,11.7,4.63,6.67,0.19,0.56,0.19,1.3,0.37,0.56,0.19,0.74,20.6,0,0.19,0,0.19,0.19,0,0,1.48,4.44,40,0,0,0
FW,22,11,719,0.25,2,1,50,0.13,0.25,10.7,0,0,0,12.9,19.5,184.4,26.3,8,10.6,3.75,5.13,0.5,1.5,0.13,0.88,0.63,0.25,0,1,19.5,0,0.75,0.13,0,0,0,0,0.63,4.13,50,0,0,0
DF,23,11,985,0,0.83,0.28,33.3,0,0,18.5,0,0,0,45.2,58,889.4,306.1,17.2,19.9,20.6,24.4,6.97,11.7,0.09,1.38,3.21,1.56,0.55,3.85,58,0.28,1.01,0.09,0,0,0,0,1.93,2.11,84.6,0,0,0
MF,18,3,83,0,1.11,0,0,0,0,6,0,0,0,35.6,42.2,506.7,156.7,22.2,24.4,8.89,10,2.22,4.44,0,3.33,5.56,1.11,0,6.67,42.2,0,0,0,0,0,0,0,0,7.78,0,0,0,0
MFFW,22,7,182,0,1.5,1.5,100,0,0,16,0,0,0,30.5,39.5,486.5,208.5,18.5,22,9,11,3,5.5,0,2,3.5,1.5,0,4.5,39.5,1,0.5,0,0,0,0,0,2.5,2.5,66.7,0,0,0
DF,21,7,575,0,0.47,0.47,100,0,0,15.7,0,0,0,49.4,56.1,1059.7,333.9,14.8,15.9,26.4,28.3,7.66,10.9,0,0.16,2.81,0,0,2.97,56.1,0.16,0.47,0,0,0,0,0,2.5,0.63,0,0,0,0
DF,21,2,91,0,0,0,0,0,0,0,0,0,0,59,64,828,325,35,36,18,20,3,5,0,1,2,1,1,2,64,0,0,0,0,0,0,0,2,1,0,0,0,0
DF,31,11,913,0,0.79,0,0,0,0,13,0,0,0,45.2,54.6,964.2,321.2,12,13.6,24.7,27.5,8.22,12.2,0.2,0.59,3.66,0.5,0.3,3.96,54.6,0.1,0.99,0,0.1,0,0,0,1.98,1.29,37.5,0,0,0
DF,24,12,1080,0.08,0.75,0.08,11.1,0.11,1,15.5,0,0,0,56.7,62.7,1177.4,324,15,16.3,33.3,35.3,8.08,10.3,0,0.25,2,0.08,0,2.33,62.7,0,0.67,0,0.08,0,0,0,0.83,1.08,81.8,0,0.08,0
DF,39,11,990,0,0.64,0.18,28.6,0,0,15.5,0,0,0,55.8,60.7,1180.8,436,17,17.5,28.9,30.4,9.18,12.1,0,0,3.18,0.18,0,2.09,60.7,0.09,0.36,0,0,0,0,0,1.82,0.64,0,0,0,0
DF,20,7,181,0,0.5,0,0,0,0,11,0,0,0,22.5,34.5,564,297.5,4.5,5.5,10.5,13.5,7.5,15,0,0,0.5,0,0,1.5,34.5,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0
MF,28,11,963,0.09,1.21,0.19,15.4,0.08,0.5,24.1,0,0,0,30.9,44.3,683,248.6,10.7,12.1,13.6,16.2,6.45,14.5,0.09,2.34,4.49,1.68,0.28,5.33,44.3,0.19,1.31,0.19,0,0.09,0,0,1.96,1.31,48,0,0,0
DF,23,10,721,0.13,0.5,0.25,50,0.25,0.5,13.8,0,0,0,41.1,50,1017.9,285,6.63,9,23.5,25.3,11,15.6,0,0,1.75,0,0,2.25,50,0,0.75,0,0.13,0,0,0,1.25,0.75,0,0.13,0.13,0
MF,32,3,31,0,0,0,0,0,0,0,0,0,0,26.7,43.3,343.3,20,13.3,16.7,10,20,0,3.33,0,0,0,0,0,0,43.3,0,6.67,0,0,0,0,0,3.33,6.67,0,0,0,0
DF,32,9,490,0,0,0,0,0,0,0,0,0,0,38.9,48.9,688.9,292.6,19.4,21.9,14.3,17.4,4.81,7.59,0.37,2.04,1.48,1.11,1.11,2.96,48.9,0.19,1.11,0,0.19,0,0,0,2.22,2.78,44.4,0,0,0
MF,24,12,521,0.34,1.03,0.52,50,0.33,0.67,17.8,0,0,0,32.9,42.2,614.7,154.5,15,17.8,13.1,15.5,4.31,6.72,0,0.86,1.38,1.72,0.52,2.76,42.2,0,0.69,0,0,0,0,0,1.03,3.45,69.2,0,0,0
FW,22,12,1062,0.76,3.14,1.44,45.9,0.19,0.41,14.6,0,0.17,0.25,20.5,23.9,285.3,46.9,13,14.6,5.93,6.78,0.76,0.85,0.25,1.53,0.85,0.93,0.17,1.36,23.9,0.08,0.08,0.17,0.34,0,0,0,0.59,6.69,50,0,0,0
DF,21,10,849,0,0.74,0.32,42.9,0,0,18.8,0,0,0,58,65.7,986.1,294.8,26.8,29.1,26.1,28.9,3.62,5.32,0.11,2.02,3.3,1.28,0,4.89,65.7,0.43,0.74,0.21,0.21,0.11,0.11,0,2.23,4.47,54.2,0,0,0
DF,29,9,725,0,0.37,0.25,66.7,0,0,17.8,0,0,0,48.8,55.6,929.6,336.9,19.3,20.9,23.3,24.4,5.8,9.01,0.12,1.11,3.95,0.49,0.25,4.2,55.6,0.37,0.37,0,0,0,0,0,1.11,0.62,0,0,0,0
MF,24,7,298,0,1.52,0,0,0,0,17.3,0,0,0,23.6,32.4,434.8,124.5,13.3,16.7,6.97,9.7,3.33,4.85,0,0.3,2.73,0,0,2.42,32.4,0,0.91,0,0,0,0,0,2.12,2.12,50,0,0,0
DF,27,4,270,0,1,0.33,33.3,0,0,8.5,0,0,0,31.7,43,640.3,252,9.33,10.7,16.3,20.3,5.67,11.7,0,0,1,0,0,1.67,43,0.33,1,0,0,0,0,0,3,1,100,0,0,0
DF,32,2,180,0,0,0,0,0,0,0,0,0,0,31,33.5,901.5,335,2,2,17.5,17.5,11,13.5,0,0,3,0,0,0.5,33.5,0,0,0,0.5,0,0,0,3,0,0,0.5,0,0
MF,31,11,861,0.21,2.6,0.83,32,0.08,0.25,20.9,0.21,0,0,39.7,54.4,831.7,259.5,14.1,17.5,17.7,21.9,7.29,13,0.94,3.44,4.79,3.54,1.04,7.08,54.4,0.21,1.25,0.1,0.1,0.1,0,0,1.04,4.06,84.6,0,0,0
MF,21,10,497,0,1.27,0.18,14.3,0,0,13,0,0,0,21.5,28.9,339.3,120.7,12,16.2,6.91,8,1.82,2.91,0.18,3.09,2.18,1.64,0.18,4,28.9,0,0.36,0.18,0.18,0,0,0,2,5.45,45,0,0,0
FW,24,1,33,0,0,0,0,0,0,0,0,0,0,17.5,22.5,185,32.5,10,15,5,5,0,0,0,0,0,0,0,0,22.5,0,0,0,2.5,0,0,0,0,5,0,0,0,0
MF,28,9,467,0.19,0.58,0.38,66.7,0.33,0.5,26.1,0,0,0,42.9,52.7,790.6,226.7,20.2,22.9,14.4,16.2,6.35,10,0.19,1.73,2.5,1.73,0.77,4.04,52.7,0.38,1.15,0,0.38,0.19,0,0,1.73,0.77,66.7,0,0,0
DF,30,8,460,0,0.59,0,0,0,0,27.4,0,0,0,49.8,59.4,1039.2,414.9,17.8,20.4,24.7,28.4,7.25,10,0,0.59,5.29,0.78,0.2,6.67,59.4,0,1.18,0,0.2,0,0,0,1.76,0.39,50,0,0,0
DF,34,9,518,0,0.69,0.34,50,0,0,13.6,0,0,0,32.2,44.5,590.2,308.4,13.8,15.2,15.5,21.2,2.93,7.24,0,0.86,3.1,0.52,0.17,3.62,44.5,0,0.86,0.17,0,0,0,0,0.52,1.03,100,0,0,0.17
DF,20,6,474,0,0,0,0,0,0,0,0,0,0,33.8,37.7,681.9,218.5,10.2,11.5,16,17.4,6.79,7.92,0,0,0.94,0,0,1.13,37.7,0,0.57,0,0,0,0,0,0.94,0,100,0,0,0
FW,31,4,126,0,3.57,2.14,60,0,0,12.9,0,0,0,12.1,17.1,201.4,22.1,5,7.14,6.43,7.86,0.71,1.43,0,0.71,0,0,0,0,17.1,0,0.71,0,0,0,0,0,0,6.43,0,0,0,0
MF,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MF,31,9,586,0.46,1.23,0.62,50,0.38,0.75,13.1,0,0,0,25.4,31.8,417.2,123.5,14,16,8.77,10.8,1.69,3.08,0,0.77,2.46,1.38,0.15,3.85,31.8,0.15,0.77,0,0.15,0,0,0,1.69,3.38,0,0,0.15,0
MFFW,26,6,271,1,2.67,1.33,50,0.13,0.25,18.9,0.33,0.67,0.67,27.7,43,581.3,282.3,11,14.7,10.3,13,6.33,14,0.67,2.67,3,3,1,4.67,43,0,1,0,0,0.33,0,0,2,4.67,80,0,0,0
DF,30,9,535,0,0.34,0.17,50,0,0,18.9,0,0,0,36.3,54.1,578.5,233.4,19.8,24.2,14.1,20,1.86,6.78,0.17,0.68,1.36,2.03,1.36,3.22,54.1,0,1.19,0.17,0.17,0.17,0,0.17,1.86,2.54,66.7,0,0,0
MF,31,7,282,0,0.97,0.32,33.3,0,0,17.8,0,0,0,43.5,50,741.3,140.6,21.3,21.9,16.8,19.4,4.52,7.74,0,0.65,1.61,1.29,0.32,2.26,50,0.32,1.61,0,0,0,0,0,0.97,2.26,100,0,0,0
FWMF,20,2,18,0,5,0,0,0,0,22,0,0,0,30,45,305,160,20,25,5,5,0,5,0,0,0,0,0,5,45,0,0,0,0,0,0,0,5,5,0,0,0,0
DF,21,1,12,0,0,0,0,0,0,0,0,0,0,80,90,1420,250,40,40,30,30,10,20,0,0,0,0,0,0,90,0,10,0,0,0,0,0,0,10,0,0,0,0
FW,31,11,741,0.61,2.68,0.85,31.8,0.09,0.29,15.8,0.12,0.37,0.37,15.5,26.3,250.9,50.2,8.29,12.4,4.63,8.05,1.71,3.54,0,0.98,1.1,0.61,0.12,1.71,26.3,0.24,0.12,0,0,0,0,0,0.12,4.27,37.5,0,0,0
FWMF,19,6,75,0,5,2.5,50,0,0,16.1,0,0,0,32.5,51.3,512.5,121.3,16.3,20,10,16.3,3.75,10,0,2.5,0,3.75,2.5,2.5,51.3,0,1.25,0,1.25,0,0,0,1.25,12.5,0,0,0,0
FW,26,9,442,0.41,3.27,1.22,37.5,0.13,0.33,11.4,0,0,0,13.7,19,186.5,26.1,8.37,10.2,4.49,5.51,0.61,1.02,0,0.2,0.82,1.22,0.2,1.02,19,0,0.41,0.2,0,0,0,0,0.82,6.12,60,0,0,0
FW,25,11,667,0.41,3.51,1.35,38.5,0.12,0.3,17.8,0,0,0,43.5,54.5,797.8,161.9,21.6,24.5,15.9,18.9,5.54,9.32,0.68,3.65,1.76,2.16,0.14,4.59,54.5,0.54,1.22,0.68,0.14,0,0.14,0,1.35,6.62,41.5,0,0,0
MF,26,1,8,0,0,0,0,0,0,0,0,0,0,10,10,90,40,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,100,0,0,0
DF,24,10,826,0.11,0.54,0.11,20,0.2,1,12.7,0,0,0,27.7,32.4,569.3,144.9,7.28,8.15,14.9,16.5,4.24,6.41,0,0.22,1.2,0,0,0.87,32.4,0,1.09,0,0,0,0,0,2.39,0.43,0,0,0,0
MF,29,11,634,0.43,1.57,0.43,27.3,0.27,1,21.7,0.57,0,0,45,60,904.4,283,17.6,20.4,19,22.1,7.86,15.9,0.14,1.14,5.43,0.71,0.29,5.14,60,0.57,0.71,0,0,0,0,0,1.57,1,25,0,0,0
MFFW,24,11,807,0.56,2.33,1.22,52.4,0.24,0.45,13.4,0,0,0,9.67,21,146.6,60.8,5.11,9.89,3.56,6.89,0.56,1.56,0.11,1,1.44,0.67,0.11,2.33,21,0.33,0.56,0.33,0.11,0.11,0,0,1.89,4.78,50,0,0,0
MF,30,1,9,0,0,0,0,0,0,0,0,0,0,70,70,1510,390,30,30,30,30,10,10,0,0,20,0,0,10,70,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,20,4,322,0,0.83,0,0,0,0,12.2,0,0,0,34.4,42.2,808.1,249.4,7.5,8.61,19.7,21.1,6.94,11.9,0,0,1.39,0,0,1.11,42.2,0,0.56,0,0,0,0,0,0.83,1.11,0,0,0,0
MF,27,12,1057,0.09,1.79,0.77,42.9,0,0,25,0.68,0.09,0.09,46.8,59.8,1173.9,397,15,16.8,17.4,20.2,14,21.5,0.34,3.25,7.78,2.05,0.34,7.18,59.8,0.26,1.88,0,0,0.09,0,0,2.22,1.11,33.3,0,0,0
MF,27,5,135,0,0.67,0,0,0,0,20.1,0,0,0,34,37.3,542.7,82,16.7,18,14,14.7,2,3.33,0,0.67,2,0,0,0.67,37.3,0,0.67,0,0.67,0,0,0,2.67,2,50,0,0,0
MF,27,4,214,0,1.25,0.83,66.7,0,0,16.5,0,0,0,34.6,39.6,676.7,117.1,13.3,15.8,15.8,15.8,4.58,4.58,0,0.83,2.08,0,0,2.08,39.6,0,0.42,0,0,0,0,0,1.67,2.5,0,0,0,0
FW,24,7,232,0.38,2.69,0.38,14.3,0.14,1,17.1,0.77,0,0,12.3,21.2,204.2,58.8,6.54,10,3.46,6.15,1.92,2.31,0,0.77,1.15,0.77,0,1.54,21.2,0,0,0,1.15,0.38,0,0,1.54,3.85,30.8,0,0,0
DF,25,6,319,0.29,0.86,0.57,66.7,0.33,0.5,6.7,0,0,0,25.4,37.1,442.6,213.7,13.4,16.6,7.71,10.6,3.71,8.29,0.29,1.43,0.86,1.14,0.86,4.29,37.1,0,1.71,0,0,0,0,0,1.71,3.71,50,0,0,0
DFMF,25,3,136,0,0.67,0,0,0,0,12.6,0,0,0,48.7,65.3,1044,473.3,19.3,24,19.3,22.7,10,18,0,2.67,5.33,2.67,2.67,5.33,65.3,0,2,0,0.67,0,0,0,2.67,1.33,100,0,0,0
FW,28,2,114,0.77,4.62,2.31,50,0.17,0.33,11.1,0,0,0,40,48.5,650,145.4,22.3,25.4,13.8,16.2,3.08,5.38,0,2.31,2.31,1.54,0,3.85,48.5,0,0,0.77,0,0,0,0,0.77,9.23,50,0,0,0
MF,22,1,8,0,10,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
DF,27,11,916,0,0.49,0.2,40,0,0,17.7,0,0,0,49.9,57.9,806.4,308.3,25.8,27.6,20.4,23.7,2.84,4.8,0.1,0.69,3.04,1.57,0.39,4.71,57.9,0.29,0.39,0,0,0.1,0,0,3.63,1.76,61.5,0,0,0
FW,27,10,751,0.24,3.01,0.48,16,0.08,0.5,12.6,0,0,0,10.6,16.9,154.3,25.1,5.42,8.55,3.25,4.58,0.84,1.57,0,1.2,1.08,0.24,0,0.84,16.9,0,0.24,0,0.24,0.12,0,0,0.24,7.23,30,0,0,0
DF,21,3,109,0,0,0,0,0,0,0,0,0,0,49.2,55,747.5,212.5,26.7,28.3,19.2,20,1.67,2.5,0,1.67,5.83,0,0,4.17,55,0,0.83,0,0.83,0.83,0,0.83,3.33,0.83,40,0,0.83,0
FW,31,8,360,0.25,3.25,1.5,46.2,0.08,0.17,14.6,0,0,0,6,11,88.5,21.5,4,6.25,1.75,3,0.25,0.75,0,0.75,0.25,0.5,0.25,0.75,11,0,0.25,0.75,0.25,0.25,0,0,0.5,5,75,0,0,0
FW,28,11,936,0.19,3.37,0.87,25.7,0.06,0.22,17.2,0.87,0,0,32.5,42.5,541.3,198,15.6,18.1,12.7,15,2.79,6.54,0.58,3.65,1.83,3.75,0.38,5.87,42.5,0.19,1.25,0.29,0.19,0,0,0,0.58,6.63,48.1,0,0,0
MFFW,24,12,945,0.1,0.95,0.19,20,0.1,0.5,21.7,0,0,0,37,47.7,661,168.8,18.4,20.8,14.1,18.1,4.1,7.62,0.19,1.33,5.14,1.05,0.19,4.38,47.7,0.38,1.71,0.1,0.29,0,0,0,1.71,2.19,50,0,0,0
FWMF,34,2,28,0,3.33,0,0,0,0,10.6,0,0,0,20,26.7,316.7,93.3,13.3,16.7,3.33,3.33,3.33,3.33,0,0,3.33,0,0,3.33,26.7,0,3.33,0,0,0,0,0,0,6.67,100,0,0,0
FWMF,28,11,487,0,1.11,0.56,50,0,0,20.2,0.19,0,0,13.5,20,224.8,63.7,6.3,7.96,5.74,7.04,1.11,3.52,0.19,1.11,0.93,1.3,0.19,1.67,20,0,0.37,0,0.37,0,0,0,0.37,2.59,66.7,0.19,0,0
GK,25,11,990,0,0,0,0,0,0,0,0,0,0,30.3,39.5,859.7,509.7,6.09,6.09,13,13.2,11,20,0,0,0.45,0,0,0,39.5,0,0.73,0,0,0,0,0,0,0,100,0,0,0
DF,29,11,990,0,1,0.27,27.3,0,0,11.4,0,0,0,55.5,62.9,1011.2,405.2,23.6,25.3,24.5,26.7,6.36,9,0.18,1.64,3.64,1.64,0.45,4.73,62.9,0,0.55,0,0.18,0,0,0,1.18,3,25,0,0,0
FWMF,34,4,186,0.48,1.43,0.48,33.3,0.33,1,14.1,0,0,0,21.4,28.6,438.6,165.2,9.05,10.5,8.1,10.5,3.81,6.67,0.48,0.48,3.33,0.95,0,3.33,28.6,0,0.48,0,0,0,0,0,1.43,2.86,0,0,0,0
FW,25,10,714,0.51,1.65,1.01,61.5,0.31,0.5,14.3,0,0,0,15.7,20.6,268.1,42.7,7.47,9.37,5.82,7.22,1.9,2.66,0.25,1.39,1.39,0.51,0.13,1.14,20.6,0.13,0.13,0.25,0.25,0,0,0,0.63,4.94,62.5,0,0,0
FW,23,11,918,0.2,1.76,1.08,61.1,0.11,0.18,17.6,0,0,0.1,26.1,35.5,423.4,103.1,13.9,16.5,9.22,11.9,2.25,5,0.29,2.55,0.98,1.96,0.78,2.55,35.5,0.29,0.59,0.29,0.1,0,0.1,0,0.88,4.31,54.5,0,0,0
DF,25,10,791,0.23,0.45,0.23,50,0.5,1,5.9,0,0,0,41.6,47.4,1021,288.9,8.64,9.55,21.7,23.3,11.2,14.4,0,0.23,3.52,0,0,2.27,47.4,0,0.91,0,0,0,0,0,1.48,1.36,50,0,0,0
DF,21,11,850,0,0.85,0.11,12.5,0,0,9.7,0,0,0,52.4,61.4,936.8,338.3,22.1,24.5,25.5,28.8,4.15,5.74,0,0.11,5.11,0.85,0.11,4.26,61.4,0,1.38,0,0.11,0,0,0,1.6,1.81,37.5,0,0,0.11
DFMF,18,2,54,0,0,0,0,0,0,0,0,0,0,33.3,43.3,373.3,306.7,23.3,28.3,6.67,6.67,0,3.33,0,0,0,0,0,0,43.3,0,1.67,0,0,0,0,0,6.67,0,100,0,0,0
DF,26,3,256,0.36,1.43,0.36,25,0.25,1,6.7,0,0,0,63.6,73.9,1358.2,519.6,20.4,21.8,30,33.6,12.9,17.5,0,0,6.43,0.36,0,4.29,73.9,0,1.07,0,0,0,0,0,1.43,2.5,100,0,0.36,0
FW,27,12,969,0.46,1.76,0.83,47.4,0.21,0.44,13.1,0,0.09,0.09,15.2,20.9,205.9,32.3,10.1,12,3.7,5.65,0.74,0.93,0,0.65,0.37,0.56,0.09,1.02,20.9,0,0.37,0,0,0,0,0,0.46,5,47.8,0,0,0
MF,23,8,405,0,0.67,0,0,0,0,28.6,0,0,0,28.4,35.8,462.2,84,15.6,17.3,11.1,13.3,1.78,4.44,0,0.22,2.67,0.44,0,0.67,35.8,0,1.33,0,0,0,0,0,1.56,0.67,57.1,0,0,0
DF,25,10,746,0,0.12,0,0,0,0,23.8,0,0,0,33.4,45.2,606.1,251,16.3,18.3,12.5,16,4.22,8.55,0,0.48,3.37,0.84,0.24,2.65,45.2,0.36,1.08,0,0,0,0,0,1.69,0,25,0,0,0
MF,22,2,66,0,4.29,0,0,0,0,14.6,0,0,0,12.9,14.3,168.6,45.7,5.71,7.14,5.71,5.71,0,0,0,0,0,0,0,1.43,14.3,0,0,0,0,0,0,0,1.43,5.71,25,0,0,0
MF,18,9,437,0,1.22,0.2,16.7,0,0,21.8,0,0,0,28.2,36.9,516.7,120.2,11,13.1,12.9,15.3,3.06,5.92,0,0,2.04,0.2,0,2.45,36.9,0,0.61,0.41,0.41,0,0,0,2.45,2.04,50,0.2,0,0
