Pos,Age,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasOff,PasOut,ScaDrib,ScaFld,ScaDef,GcaDrib,GcaDef,Tkl,TouAttPen,DriSucc%,PKwon,PKcon,OG
DF,28,7,479,0,0.57,0,0,0,0,24.3,0,0,0,24.9,40.4,483.6,209.1,8.68,10.9,12.6,18.5,3.21,8.49,0,0,3.21,0.38,0,3.4,40.4,0,1.13,0.19,0,0.19,0,0.19,1.51,0.57,28.6,0,0.19,0
FWDF,22,7,187,0.48,1.9,1.43,75,0.25,0.33,21.4,0,0,0,19,29.5,331.4,93.3,10,13.8,3.33,6.19,3.33,4.76,0,0.48,2.86,0.95,0,2.86,29.5,0,0.95,0.48,0,0,0,0,2.38,1.43,33.3,0,0,0
FW,20,2,52,1.67,1.67,1.67,100,1,1,17,0,0,0,21.7,28.3,263.3,60,13.3,15,6.67,10,0,1.67,0,0,0,0,0,1.67,28.3,0,0,0,0,0,0,0,1.67,1.67,0,0,0,0
DF,26,11,985,0,0.37,0.09,25,0,0,21.5,0,0,0,49.4,58.5,1128.1,382.1,11.6,13.2,27.9,30.1,9.54,14.1,0,0.37,2.94,0.37,0,3.67,58.5,0,0.83,0,0,0,0,0,1.56,0.37,50,0,0,0
MF,22,6,194,0,0,0,0,0,0,0,0,0,0,52.3,57.3,810.9,185.5,27.3,29.1,18.2,20,4.55,5.91,0,0,3.64,0.45,0,2.27,57.3,0,0,0,0,0,0,0,0.45,0,100,0,0,0
FW,32,11,511,0.35,2.28,0.88,38.5,0.15,0.4,12.2,0,0,0,8.95,16.7,154.4,24.6,4.21,6.49,3.68,6.84,0.53,1.93,0.18,0.88,0.53,0.7,0.18,1.05,16.7,0,1.05,0.53,0.18,0,0.18,0,0.53,4.39,50,0,0,0
FW,22,6,491,0.55,3.64,1.64,45,0.15,0.33,21.9,0,0,0,32.5,40.4,452.9,90.9,20.7,23.3,9.82,12,1.27,2.91,0,1.27,1.27,0.73,0,2,40.4,0.18,0.55,0,0.18,0,0,0,1.45,3.64,46.2,0,0,0
DF,21,3,144,0,0,0,0,0,0,0,0,0,0,43.8,51.9,886.9,389.4,17.5,20,19.4,21.3,6.88,10.6,0,0.63,3.75,1.25,0,5,51.9,0,0.63,0,0.63,0,0,0,2.5,0,100,0,0,0
FW,28,6,219,0,1.25,0,0,0,0,14,0,0,0,17.1,25.8,335.8,138.3,7.08,7.92,6.25,8.75,3.33,7.5,0.83,2.08,0.42,2.08,0.42,3.33,25.8,0.42,0.42,0.83,0.42,0,0,0,2.08,2.5,75,0,0,0
MFFW,27,3,210,0.43,1.3,0.43,33.3,0.33,1,11.2,0,0,0,12.2,17,164.3,50,6.09,7.39,4.78,6.09,0.43,0.43,0,0.87,0.43,0.43,0,0.43,17,0,0,0,0.43,0.43,0,0,2.61,3.04,100,0,0,0
MF,24,3,167,0.53,2.63,1.58,60,0.2,0.33,13.8,0,0,0,54.7,66.3,842.6,166.3,37.4,42.1,13.2,14.7,4.21,6.84,0,0.53,7.89,0,0,2.63,66.3,0,0,0,0,0,0,0,1.05,3.68,100,0,0,0
MF,20,1,19,0,0,0,0,0,0,0,0,0,0,20,20,295,65,10,10,10,10,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0
